Impl,T,Time
mbedtls,32,1
openssl_loop,32,0
openssl_exp,32,0
mbedtls,64,1
openssl_loop,64,0
openssl_exp,64,0
mbedtls,128,3
openssl_loop,128,1
openssl_exp,128,0
mbedtls,256,6
openssl_loop,256,2
openssl_exp,256,0
mbedtls,512,12
openssl_loop,512,4
openssl_exp,512,0
mbedtls,1024,25
openssl_loop,1024,8
openssl_exp,1024,1
mbedtls,2048,51
openssl_loop,2048,16
openssl_exp,2048,2
mbedtls,4096,102
openssl_loop,4096,32
openssl_exp,4096,3
mbedtls,8192,204
openssl_loop,8192,64
openssl_exp,8192,7
mbedtls,16384,410
openssl_loop,16384,128
openssl_exp,16384,15
mbedtls,32768,821
openssl_loop,32768,259
openssl_exp,32768,31
mbedtls,65536,1654
openssl_loop,65536,519
openssl_exp,65536,62
mbedtls,131072,3292
openssl_loop,131072,1029
openssl_exp,131072,123
mbedtls,262144,6554
openssl_loop,262144,2058
openssl_exp,262144,249
mbedtls,524288,13137
openssl_loop,524288,4118
openssl_exp,524288,494
mbedtls,1048576,32442
openssl_loop,1048576,8238
openssl_exp,1048576,989
mbedtls,2097152,587995
openssl_loop,2097152,999969
openssl_exp,2097152,1978
mbedtls,4194304,1662211
openssl_loop,4194304,933508
openssl_exp,4194304,3954
mbedtls,8388608,4021933
openssl_loop,8388608,1867426
openssl_exp,8388608,8253
mbedtls,16777216,7628567
openssl_loop,16777216,2835419
openssl_exp,16777216,799762
python,32,610
python,64,1360
python,128,2693
python,256,5368
python,512,10915
python,1024,21944
python,2048,43519
python,4096,87235
python,8192,172757
python,16384,343217
python,32768,684793
python,65536,1374156
python,131072,2741047
python,262144,5605570
python,524288,11025209
python,1048576,22093576
python,2097152,44981953
python,4194304,89093986
python,8388608,175227398
python,16777216,351872682
