Impl,MatchingBytes,Time
comp_const,0,0
comp_mpi,0,4000
comp_const,1,0
comp_mpi,1,5000
comp_const,2,0
comp_mpi,2,4000
comp_const,3,0
comp_mpi,3,5000
comp_const,4,0
comp_mpi,4,4000
comp_const,5,0
comp_mpi,5,4000
comp_const,6,0
comp_mpi,6,4000
comp_const,7,0
comp_mpi,7,4000
comp_const,8,1000
comp_mpi,8,4000
comp_const,9,0
comp_mpi,9,4000
comp_const,10,0
comp_mpi,10,4000
comp_const,11,0
comp_mpi,11,4000
comp_const,12,0
comp_mpi,12,4000
comp_const,13,0
comp_mpi,13,4000
comp_const,14,0
comp_mpi,14,4000
comp_const,15,0
comp_mpi,15,4000
comp_const,16,0
comp_mpi,16,6000
comp_const,17,0
comp_mpi,17,6000
comp_const,18,0
comp_mpi,18,6000
comp_const,19,0
comp_mpi,19,6000
comp_const,20,0
comp_mpi,20,6000
comp_const,21,0
comp_mpi,21,6000
comp_const,22,0
comp_mpi,22,6000
comp_const,23,0
comp_mpi,23,6000
comp_const,24,0
comp_mpi,24,7000
comp_const,25,0
comp_mpi,25,7000
comp_const,26,0
comp_mpi,26,8000
comp_const,27,0
comp_mpi,27,8000
comp_const,28,0
comp_mpi,28,7000
comp_const,29,0
comp_mpi,29,7000
comp_const,30,0
comp_mpi,30,7000
comp_const,31,0
comp_mpi,31,7000
comp_const,32,0
comp_mpi,32,8000
comp_const,33,0
comp_mpi,33,8000
comp_const,34,0
comp_mpi,34,8000
comp_const,35,0
comp_mpi,35,8000
comp_const,36,0
comp_mpi,36,8000
comp_const,37,0
comp_mpi,37,8000
comp_const,38,0
comp_mpi,38,8000
comp_const,39,0
comp_mpi,39,8000
comp_const,40,0
comp_mpi,40,10000
comp_const,41,0
comp_mpi,41,9000
comp_const,42,0
comp_mpi,42,7000
comp_const,43,0
comp_mpi,43,8000
comp_const,44,0
comp_mpi,44,8000
comp_const,45,0
comp_mpi,45,8000
comp_const,46,0
comp_mpi,46,8000
comp_const,47,0
comp_mpi,47,8000
comp_const,48,0
comp_mpi,48,8000
comp_const,49,0
comp_mpi,49,8000
comp_const,50,0
comp_mpi,50,8000
comp_const,51,0
comp_mpi,51,8000
comp_const,52,0
comp_mpi,52,8000
comp_const,53,0
comp_mpi,53,9000
comp_const,54,0
comp_mpi,54,8000
comp_const,55,0
comp_mpi,55,9000
comp_const,56,0
comp_mpi,56,9000
comp_const,57,0
comp_mpi,57,8000
comp_const,58,0
comp_mpi,58,8000
comp_const,59,0
comp_mpi,59,8000
comp_const,60,0
comp_mpi,60,8000
comp_const,61,0
comp_mpi,61,9000
comp_const,62,0
comp_mpi,62,9000
comp_const,63,0
comp_mpi,63,9000
comp_const,64,0
comp_mpi,64,9000
comp_const,65,0
comp_mpi,65,9000
comp_const,66,0
comp_mpi,66,9000
comp_const,67,0
comp_mpi,67,9000
comp_const,68,0
comp_mpi,68,9000
comp_const,69,0
comp_mpi,69,9000
comp_const,70,0
comp_mpi,70,9000
comp_const,71,1000
comp_mpi,71,9000
comp_const,72,0
comp_mpi,72,10000
comp_const,73,0
comp_mpi,73,10000
comp_const,74,0
comp_mpi,74,10000
comp_const,75,0
comp_mpi,75,10000
comp_const,76,0
comp_mpi,76,10000
comp_const,77,0
comp_mpi,77,10000
comp_const,78,0
comp_mpi,78,10000
comp_const,79,0
comp_mpi,79,10000
comp_const,80,0
comp_mpi,80,10000
comp_const,81,0
comp_mpi,81,10000
comp_const,82,0
comp_mpi,82,10000
comp_const,83,0
comp_mpi,83,10000
comp_const,84,0
comp_mpi,84,10000
comp_const,85,0
comp_mpi,85,11000
comp_const,86,0
comp_mpi,86,10000
comp_const,87,0
comp_mpi,87,11000
comp_const,88,0
comp_mpi,88,11000
comp_const,89,0
comp_mpi,89,11000
comp_const,90,0
comp_mpi,90,11000
comp_const,91,0
comp_mpi,91,11000
comp_const,92,0
comp_mpi,92,10000
comp_const,93,0
comp_mpi,93,10000
comp_const,94,0
comp_mpi,94,10000
comp_const,95,0
comp_mpi,95,10000
comp_const,96,0
comp_mpi,96,12000
comp_const,97,0
comp_mpi,97,13000
comp_const,98,0
comp_mpi,98,12000
comp_const,99,0
comp_mpi,99,13000
comp_const,100,0
comp_mpi,100,12000
comp_const,101,0
comp_mpi,101,13000
comp_const,102,0
comp_mpi,102,12000
comp_const,103,0
comp_mpi,103,11000
comp_const,104,0
comp_mpi,104,13000
comp_const,105,0
comp_mpi,105,13000
comp_const,106,0
comp_mpi,106,13000
comp_const,107,0
comp_mpi,107,13000
comp_const,108,0
comp_mpi,108,14000
comp_const,109,0
comp_mpi,109,13000
comp_const,110,0
comp_mpi,110,13000
comp_const,111,0
comp_mpi,111,13000
comp_const,112,0
comp_mpi,112,15000
comp_const,113,0
comp_mpi,113,15000
comp_const,114,0
comp_mpi,114,15000
comp_const,115,0
comp_mpi,115,15000
comp_const,116,0
comp_mpi,116,14000
comp_const,117,0
comp_mpi,117,15000
comp_const,118,0
comp_mpi,118,14000
comp_const,119,0
comp_mpi,119,15000
comp_const,120,0
comp_mpi,120,15000
comp_const,121,0
comp_mpi,121,15000
comp_const,122,0
comp_mpi,122,15000
comp_const,123,0
comp_mpi,123,15000
comp_const,124,0
comp_mpi,124,16000
comp_const,125,0
comp_mpi,125,15000
comp_const,126,0
comp_mpi,126,15000
comp_const,127,0
comp_mpi,127,14000
comp_const,128,0
comp_mpi,128,16000
