num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,SetConfigTime,InitTime,TeardownTime
64,4,100,0,5,0,0,0,0,4,0
64,4,100,0,6,0,0,0,0,3,0
64,4,100,0,7,0,0,0,0,4,0
64,4,100,0,8,0,0,0,0,5,0
64,4,100,0,9,0,0,0,0,4,0
64,4,100,0,10,0,0,0,0,3,0
64,4,100,0,11,0,0,0,0,3,0
64,4,100,0,12,0,0,0,0,4,0
64,4,100,0,13,0,0,0,0,4,0
64,4,100,0,14,0,0,0,0,3,0
64,4,100,0,15,0,0,0,0,6,0
128,4,100,0,5,0,0,0,0,9,0
128,4,100,0,6,0,0,0,0,14,0
128,4,100,0,7,0,0,0,0,10,0
128,4,100,0,8,0,0,0,0,11,0
128,4,100,0,9,0,0,0,0,10,0
128,4,100,0,10,0,0,0,0,10,0
128,4,100,0,11,0,0,0,0,8,0
128,4,100,0,12,0,0,0,0,17,0
128,4,100,0,13,0,0,0,0,12,0
128,4,100,0,14,0,0,0,0,10,0
128,4,100,0,15,0,0,0,0,9,0
256,4,100,0,5,0,0,0,0,15,0
256,4,100,0,6,0,0,0,0,24,0
256,4,100,0,7,0,0,0,0,28,0
256,4,100,0,8,0,0,0,0,15,0
256,4,100,0,9,0,0,0,0,11,0
256,4,100,0,10,0,0,0,0,18,0
256,4,100,0,11,0,0,0,0,19,0
256,4,100,0,12,0,0,0,0,23,0
256,4,100,0,13,0,0,0,0,17,0
256,4,100,0,14,0,0,0,0,25,0
256,4,100,0,15,0,0,0,0,18,0
512,4,100,0,5,0,0,0,0,168,0
512,4,100,0,6,0,0,0,0,82,0
512,4,100,0,7,0,0,0,0,99,0
512,4,100,0,8,0,0,0,0,278,0
512,4,100,0,9,0,0,0,0,46,0
512,4,100,0,10,0,0,0,0,267,0
512,4,100,0,11,0,0,0,0,121,0
512,4,100,0,12,0,0,0,0,61,0
512,4,100,0,13,0,0,0,0,108,0
512,4,100,0,14,0,0,0,0,264,0
512,4,100,0,15,0,0,0,0,49,0
1024,4,100,0,5,0,0,0,0,1970,0
1024,4,100,0,6,0,0,0,0,771,0
1024,4,100,0,7,0,0,0,0,404,0
1024,4,100,0,8,0,0,0,0,836,0
1024,4,100,0,9,0,0,0,0,871,0
1024,4,100,0,10,0,0,0,0,152,0
1024,4,100,0,11,0,0,0,0,601,0
1024,4,100,0,12,0,0,0,0,379,0
1024,4,100,0,13,0,0,0,0,643,0
1024,4,100,0,14,0,0,0,0,642,0
1024,4,100,0,15,0,0,0,0,356,0
1024,4,100,0,1,0,0,0,0,740,0
1024,4,100,0,2,0,0,0,0,471,0
1024,4,100,0,3,0,0,0,0,186,0
1024,4,100,0,4,0,0,0,0,643,0
1024,4,100,0,5,0,0,0,0,807,0
1024,4,100,0,6,0,0,0,0,575,0
1024,4,100,0,7,0,0,0,0,726,0
1024,4,100,0,8,0,0,0,0,1252,0
1024,4,100,0,9,0,0,0,0,872,0
1024,4,100,0,10,0,0,0,0,835,0
1024,4,100,0,11,0,0,0,0,712,0
1024,4,100,0,12,0,0,0,0,1477,0
1024,4,100,0,13,0,0,0,0,1269,0
1024,4,100,0,14,0,0,0,0,2429,0
1024,4,100,0,15,0,0,0,0,934,0
1024,4,100,0,16,0,0,0,0,426,0
1024,4,100,0,17,0,0,0,0,1037,0
1024,4,100,0,18,0,0,0,0,773,0
1024,4,100,0,19,0,0,0,0,1037,0
1024,4,100,0,20,0,0,0,0,231,0
1024,4,100,0,21,0,0,0,0,343,0
1024,4,100,0,22,0,0,0,0,571,0
1024,4,100,0,23,0,0,0,0,1819,0
1024,4,100,0,24,0,0,0,0,385,0
