Impl,T,AvgCycles
mbedtls,32,296843
openssl,32,20545
mbedtls,64,320194
openssl,64,19190
mbedtls,128,324240
openssl,128,19130
mbedtls,256,325126
openssl,256,19309
mbedtls,512,327347
openssl,512,19366
mbedtls,1024,333255
openssl,1024,19454
mbedtls,2048,328188
openssl,2048,19482
mbedtls,4096,329464
openssl,4096,19478
mbedtls,8192,334517
openssl,8192,19456
mbedtls,16384,329012
openssl,16384,19557
mbedtls,32768,335987
openssl,32768,19526
mbedtls,65536,337162
openssl,65536,19535
mbedtls,131072,332270
openssl,131072,19503
mbedtls,262144,332433
openssl,262144,19672
mbedtls,524288,331844
openssl,524288,20629
mbedtls,1048576,331580
openssl,1048576,20132
mbedtls,2097152,331967
openssl,2097152,19721
mbedtls,4194304,331628
openssl,4194304,19824
mbedtls,8388608,331448
openssl,8388608,19654
mbedtls,16777216,329348
openssl,16777216,19583
