Impl,T,TotalCycles
mbedtls,32,9345530
openssl,32,655106
mbedtls,64,19787900
openssl,64,1266758
mbedtls,128,40752604
openssl,128,2516684
mbedtls,256,82413536
openssl,256,4962432
mbedtls,512,166305574
openssl,512,9953908
mbedtls,1024,333582848
openssl,1024,19891858
mbedtls,2048,666479324
openssl,2048,39796032
mbedtls,4096,1358666798
openssl,4096,80076018
mbedtls,8192,2665133912
openssl,8192,159666946
mbedtls,16384,5402268682
openssl,16384,320737380
mbedtls,32768,10760497612
openssl,32768,643335220
mbedtls,65536,21649536704
openssl,65536,1276458836
mbedtls,131072,42973404706
openssl,131072,2604202060
mbedtls,262144,85798207114
openssl,262144,5161097652
mbedtls,524288,173786318540
openssl,524288,10700973892
mbedtls,1048576,345768841256
openssl,1048576,20939745282
mbedtls,2097152,689332342980
openssl,2097152,41015313966
mbedtls,4194304,1370477822278
openssl,4194304,83001624966
mbedtls,8388608,2760776790750
openssl,8388608,166875881728
mbedtls,16777216,5513291659754
openssl,16777216,331583705428
