Impl,T,Time
mbedtls,32,2
openssl_loop,32,0
openssl_exp,32,0
mbedtls,64,5
openssl_loop,64,0
openssl_exp,64,0
mbedtls,128,11
openssl_loop,128,0
openssl_exp,128,0
mbedtls,256,23
openssl_loop,256,1
openssl_exp,256,0
mbedtls,512,46
openssl_loop,512,2
openssl_exp,512,0
mbedtls,1024,93
openssl_loop,1024,5
openssl_exp,1024,0
mbedtls,2048,187
openssl_loop,2048,11
openssl_exp,2048,1
mbedtls,4096,376
openssl_loop,4096,22
openssl_exp,4096,3
mbedtls,8192,752
openssl_loop,8192,44
openssl_exp,8192,6
mbedtls,16384,1507
openssl_loop,16384,88
openssl_exp,16384,13
mbedtls,32768,3008
openssl_loop,32768,177
openssl_exp,32768,27
mbedtls,65536,6077
openssl_loop,65536,354
openssl_exp,65536,54
mbedtls,131072,12140
openssl_loop,131072,708
openssl_exp,131072,108
mbedtls,262144,24362
openssl_loop,262144,1416
openssl_exp,262144,217
mbedtls,524288,48568
openssl_loop,524288,2960
openssl_exp,524288,430
mbedtls,1048576,96812
openssl_loop,1048576,5803
openssl_exp,1048576,875
mbedtls,2097152,193953
openssl_loop,2097152,11617
openssl_exp,2097152,1755
mbedtls,4194304,387680
openssl_loop,4194304,22992
openssl_exp,4194304,3546
mbedtls,8388608,775107
openssl_loop,8388608,46094
openssl_exp,8388608,7060
mbedtls,16777216,1548658
openssl_loop,16777216,92305
openssl_exp,16777216,14425
python,32,0
python,64,0
python,128,1
python,256,2
python,512,5
python,1024,11
python,2048,22
python,4096,44
python,8192,89
python,16384,179
python,32768,357
python,65536,722
python,131072,1431
python,262144,3009
python,524288,5837
python,1048576,11593
python,2097152,23292
python,4194304,46559
python,8388608,92985
python,16777216,185954
