Impl,MatchingBytes,Time
comp_const,0,373462
comp_mpi,0,11887
comp_const,1,345646
comp_mpi,1,11795
comp_const,2,312340
comp_mpi,2,11754
comp_const,3,317724
comp_mpi,3,11694
comp_const,4,312886
comp_mpi,4,11616
comp_const,5,326549
comp_mpi,5,11821
comp_const,6,319842
comp_mpi,6,11654
comp_const,7,313947
comp_mpi,7,11634
comp_const,8,334900
comp_mpi,8,13100
comp_const,9,327187
comp_mpi,9,13114
comp_const,10,311348
comp_mpi,10,13040
comp_const,11,313577
comp_mpi,11,13066
comp_const,12,345771
comp_mpi,12,13021
comp_const,13,312471
comp_mpi,13,12655
comp_const,14,311982
comp_mpi,14,12996
comp_const,15,317936
comp_mpi,15,12983
comp_const,16,312356
comp_mpi,16,14355
comp_const,17,313156
comp_mpi,17,14382
comp_const,18,319604
comp_mpi,18,13751
comp_const,19,312763
comp_mpi,19,14334
comp_const,20,313596
comp_mpi,20,14315
comp_const,21,336688
comp_mpi,21,14336
comp_const,22,312836
comp_mpi,22,14632
comp_const,23,312877
comp_mpi,23,14658
comp_const,24,316273
comp_mpi,24,15048
comp_const,25,314485
comp_mpi,25,15774
comp_const,26,313830
comp_mpi,26,15765
comp_const,27,316484
comp_mpi,27,15981
comp_const,28,313570
comp_mpi,28,15647
comp_const,29,313926
comp_mpi,29,15623
comp_const,30,319886
comp_mpi,30,15371
comp_const,31,313655
comp_mpi,31,15625
comp_const,32,313849
comp_mpi,32,17040
comp_const,33,319667
comp_mpi,33,17320
comp_const,34,314252
comp_mpi,34,17337
comp_const,35,314267
comp_mpi,35,17295
comp_const,36,323494
comp_mpi,36,16992
comp_const,37,314119
comp_mpi,37,16969
comp_const,38,312707
comp_mpi,38,16991
comp_const,39,316865
comp_mpi,39,16963
comp_const,40,312603
comp_mpi,40,18367
comp_const,41,313144
comp_mpi,41,18317
comp_const,42,317508
comp_mpi,42,18497
comp_const,43,311715
comp_mpi,43,18617
comp_const,44,312920
comp_mpi,44,18338
comp_const,45,318592
comp_mpi,45,18318
comp_const,46,312210
comp_mpi,46,18340
comp_const,47,312287
comp_mpi,47,18292
comp_const,48,314822
comp_mpi,48,19692
comp_const,49,312130
comp_mpi,49,19827
comp_const,50,312459
comp_mpi,50,22355
comp_const,51,311552
comp_mpi,51,19979
comp_const,52,312030
comp_mpi,52,20006
comp_const,53,312467
comp_mpi,53,22036
comp_const,54,312236
comp_mpi,54,20005
comp_const,55,312011
comp_mpi,55,19967
comp_const,56,312174
comp_mpi,56,23805
comp_const,57,312079
comp_mpi,57,21152
comp_const,58,311583
comp_mpi,58,21215
comp_const,59,315320
comp_mpi,59,21152
comp_const,60,312238
comp_mpi,60,21111
comp_const,61,312118
comp_mpi,61,21107
comp_const,62,314622
comp_mpi,62,21126
comp_const,63,312259
comp_mpi,63,21107
comp_const,64,311876
comp_mpi,64,23331
comp_const,65,314128
comp_mpi,65,23287
comp_const,66,311801
comp_mpi,66,23249
comp_const,67,312587
comp_mpi,67,23371
comp_const,68,316243
comp_mpi,68,23340
comp_const,69,312183
comp_mpi,69,23254
comp_const,70,312321
comp_mpi,70,23346
comp_const,71,314594
comp_mpi,71,23273
comp_const,72,311889
comp_mpi,72,25442
comp_const,73,312432
comp_mpi,73,25565
comp_const,74,314086
comp_mpi,74,25467
comp_const,75,311429
comp_mpi,75,25419
comp_const,76,312181
comp_mpi,76,25451
comp_const,77,314680
comp_mpi,77,25499
comp_const,78,312388
comp_mpi,78,25544
comp_const,79,312566
comp_mpi,79,25530
comp_const,80,314316
comp_mpi,80,27821
comp_const,81,312169
comp_mpi,81,27740
comp_const,82,311945
comp_mpi,82,27765
comp_const,83,314650
comp_mpi,83,27684
comp_const,84,313018
comp_mpi,84,27770
comp_const,85,312914
comp_mpi,85,27675
comp_const,86,314355
comp_mpi,86,27722
comp_const,87,311986
comp_mpi,87,27618
comp_const,88,312478
comp_mpi,88,30161
comp_const,89,313752
comp_mpi,89,30003
comp_const,90,311737
comp_mpi,90,29941
comp_const,91,312681
comp_mpi,91,30089
comp_const,92,313235
comp_mpi,92,29880
comp_const,93,311439
comp_mpi,93,29836
comp_const,94,311633
comp_mpi,94,32396
comp_const,95,312576
comp_mpi,95,30077
comp_const,96,311875
comp_mpi,96,35663
comp_const,97,313772
comp_mpi,97,37165
comp_const,98,312282
comp_mpi,98,35406
comp_const,99,312802
comp_mpi,99,36798
comp_const,100,314676
comp_mpi,100,35480
comp_const,101,311898
comp_mpi,101,37004
comp_const,102,312096
comp_mpi,102,36903
comp_const,103,314655
comp_mpi,103,35639
comp_const,104,311986
comp_mpi,104,40384
comp_const,105,311713
comp_mpi,105,39975
comp_const,106,314608
comp_mpi,106,40050
comp_const,107,311983
comp_mpi,107,39039
comp_const,108,311695
comp_mpi,108,40161
comp_const,109,314506
comp_mpi,109,38917
comp_const,110,311874
comp_mpi,110,40205
comp_const,111,313080
comp_mpi,111,42543
comp_const,112,312283
comp_mpi,112,44664
comp_const,113,312072
comp_mpi,113,43949
comp_const,114,314280
comp_mpi,114,44448
comp_const,115,312268
comp_mpi,115,42438
comp_const,116,312600
comp_mpi,116,42293
comp_const,117,314144
comp_mpi,117,44453
comp_const,118,312773
comp_mpi,118,42472
comp_const,119,312954
comp_mpi,119,44013
comp_const,120,314567
comp_mpi,120,47766
comp_const,121,312593
comp_mpi,121,46118
comp_const,122,312608
comp_mpi,122,47661
comp_const,123,314195
comp_mpi,123,47861
comp_const,124,311869
comp_mpi,124,47480
comp_const,125,314955
comp_mpi,125,46222
comp_const,126,312020
comp_mpi,126,47545
comp_const,127,311794
comp_mpi,127,45998
comp_const,128,313939
comp_mpi,128,47796
