Impl,E,Time
mbedtls_exp_mod,1,281783000
mbedtls_exp_mod,2,283518000
mbedtls_exp_mod,4,284058000
mbedtls_exp_mod,8,287142000
mbedtls_exp_mod,16,283143000
mbedtls_exp_mod,32,286726000
mbedtls_exp_mod,64,286556000
mbedtls_exp_mod,128,286723000
mbedtls_exp_mod,256,284556000
mbedtls_exp_mod,512,283504000
mbedtls_exp_mod,1024,283225000
mbedtls_exp_mod,2048,285683000
mbedtls_exp_mod,4096,293671000
mbedtls_exp_mod,8192,304820000
mbedtls_exp_mod,16384,286047000
mbedtls_exp_mod,32768,286379000
mbedtls_exp_mod,65536,296874000
mbedtls_exp_mod,131072,284232000
mbedtls_exp_mod,262144,282292000
mbedtls_exp_mod,524288,282803000
mbedtls_exp_mod,1048576,284741000
mbedtls_exp_mod,2097152,282081000
mbedtls_exp_mod,4194304,281069000
mbedtls_exp_mod,8388608,281891000
mbedtls_exp_mod,16777216,281720000
mbedtls_exp_mod,33554432,281134000
mbedtls_exp_mod,67108864,281562000
mbedtls_exp_mod,134217728,281871000
mbedtls_exp_mod,268435456,282090000
mbedtls_exp_mod,536870912,282452000
mbedtls_exp_mod,1073741824,293300000
mbedtls_exp_mod,2147483648,290866000
mbedtls_exp_mod,4294967296,284577000
mbedtls_exp_mod,8589934592,282728000
mbedtls_exp_mod,17179869184,320445000
mbedtls_exp_mod,34359738368,282682000
mbedtls_exp_mod,68719476736,282430000
mbedtls_exp_mod,137438953472,286089000
mbedtls_exp_mod,274877906944,361386000
mbedtls_exp_mod,549755813888,284697000
mbedtls_exp_mod,1099511627776,282103000
mbedtls_exp_mod,2199023255552,283101000
mbedtls_exp_mod,4398046511104,283428000
mbedtls_exp_mod,8796093022208,281946000
mbedtls_exp_mod,17592186044416,281766000
mbedtls_exp_mod,35184372088832,281714000
mbedtls_exp_mod,70368744177664,281056000
mbedtls_exp_mod,140737488355328,281835000
mbedtls_exp_mod,281474976710656,281638000
mbedtls_exp_mod,562949953421312,281285000
mbedtls_exp_mod,1125899906842624,281208000
mbedtls_exp_mod,2251799813685248,281752000
mbedtls_exp_mod,4503599627370496,281695000
mbedtls_exp_mod,9007199254740992,281439000
mbedtls_exp_mod,18014398509481984,283191000
mbedtls_exp_mod,36028797018963968,290598000
mbedtls_exp_mod,72057594037927936,284789000
mbedtls_exp_mod,144115188075855872,284103000
mbedtls_exp_mod,288230376151711744,282834000
mbedtls_exp_mod,576460752303423488,286692000
