num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
1024,4,100,0,1,0,0,0,1,0,0,1,0
1024,4,100,0,2,0,0,0,1,0,0,0,0
1024,4,100,0,3,0,0,0,1,0,0,0,0
1024,4,100,0,4,0,0,0,1,0,0,0,0
1024,4,100,0,5,0,0,0,1,0,2,1,0
1024,4,100,0,6,0,0,0,1,0,5,1,0
1024,4,100,0,7,0,0,0,1,0,9,1,0
1024,4,100,0,8,0,0,0,1,0,18,3,0
1024,4,100,0,9,0,0,0,1,0,36,5,0
1024,4,100,0,10,0,0,0,1,0,83,9,0
1024,4,100,0,11,0,0,0,1,0,173,24,0
1024,4,100,0,12,0,0,0,1,0,288,24,0
1024,4,100,0,13,0,0,0,1,0,589,24,0
1024,4,100,0,14,0,0,0,1,0,1230,24,0
1024,4,100,0,15,0,0,0,1,0,2220,24,0
1024,4,100,0,16,0,0,0,1,0,4921,24,0
1024,4,100,0,17,0,0,0,1,0,11435,24,0
1024,4,100,0,18,0,0,0,1,0,19571,24,0
1024,4,100,0,19,0,0,0,1,0,37105,24,0
1024,4,100,0,20,0,0,0,1,0,83225,24,0
1024,4,100,0,21,0,0,0,1,0,189655,24,0
1024,4,100,0,22,0,0,0,1,0,311986,24,0
1024,4,100,0,23,0,0,0,1,0,673888,24,0
1024,4,100,0,24,0,0,0,1,0,1177257,24,0
