num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
512,4,100,0,5,0,0,0,1,0,0,0,0
512,4,100,0,6,0,0,0,1,0,1,0,0
512,4,100,0,7,0,0,0,1,0,3,0,0
512,4,100,0,8,0,0,0,1,0,5,1,0
512,4,100,0,9,0,0,0,1,0,10,2,0
512,4,100,0,10,0,0,0,1,0,23,5,0
512,4,100,0,11,0,0,0,1,0,52,5,0
512,4,100,0,12,0,0,0,1,0,87,5,0
512,4,100,0,13,0,0,0,1,0,183,6,0
512,4,100,0,14,0,0,0,1,0,405,5,0
512,4,100,0,15,0,0,0,1,0,886,5,0
1024,4,100,0,5,0,0,0,1,0,2,1,0
1024,4,100,0,6,0,0,0,1,0,4,1,0
1024,4,100,0,7,0,0,0,1,0,11,1,0
1024,4,100,0,8,0,0,0,1,0,22,3,0
1024,4,100,0,9,0,0,0,1,0,47,5,0
1024,4,100,0,10,0,0,0,1,0,72,9,0
1024,4,100,0,11,0,0,0,1,0,147,24,0
1024,4,100,0,12,0,0,0,1,0,279,24,0
1024,4,100,0,13,0,0,0,1,0,621,24,0
1024,4,100,0,14,0,0,0,1,0,1369,24,0
1024,4,100,0,15,0,0,0,1,0,2381,24,0
512,4,100,0,5,0,0,0,1,0,0,0,0
512,4,100,0,6,0,0,0,1,0,1,0,0
512,4,100,0,7,0,0,0,1,0,3,0,0
512,4,100,0,8,0,0,0,1,0,5,1,0
512,4,100,0,9,0,0,0,1,0,11,2,0
512,4,100,0,10,0,0,0,1,0,26,5,0
512,4,100,0,11,0,0,0,1,0,46,5,0
512,4,100,0,12,0,0,0,1,0,83,5,0
512,4,100,0,13,0,0,0,1,0,170,5,0
512,4,100,0,14,0,0,0,1,0,413,5,0
512,4,100,0,15,0,0,0,1,0,891,5,0
1024,4,100,0,5,0,0,0,1,0,2,1,0
1024,4,100,0,6,0,0,0,1,0,4,1,0
1024,4,100,0,7,0,0,0,1,0,8,1,0
1024,4,100,0,8,0,0,0,1,0,22,3,0
1024,4,100,0,9,0,0,0,1,0,44,5,0
1024,4,100,0,10,0,0,0,1,0,74,9,0
1024,4,100,0,11,0,0,0,1,0,191,24,0
1024,4,100,0,12,0,0,0,1,0,386,24,0
1024,4,100,0,13,0,0,0,1,0,807,24,0
1024,4,100,0,14,0,0,0,1,0,1338,36,0
1024,4,100,0,15,0,0,0,1,0,2485,24,0
512,4,100,0,5,0,0,0,1,0,0,0,0
512,4,100,0,6,0,0,0,1,0,1,0,0
512,4,100,0,7,0,0,0,1,0,2,0,0
512,4,100,0,8,0,0,0,1,0,6,1,0
512,4,100,0,9,0,0,0,1,0,12,2,0
512,4,100,0,10,0,0,0,1,0,22,5,0
512,4,100,0,11,0,0,0,1,0,46,5,0
512,4,100,0,12,0,0,0,1,0,99,5,0
512,4,100,0,13,0,0,0,1,0,198,5,0
512,4,100,0,14,0,0,0,1,0,379,5,0
512,4,100,0,15,0,0,0,1,0,697,5,0
1024,4,100,0,5,0,0,0,1,0,1,1,0
1024,4,100,0,6,0,0,0,1,0,7,1,0
1024,4,100,0,7,0,0,0,1,0,8,1,0
1024,4,100,0,8,0,0,0,1,0,16,3,0
1024,4,100,0,9,0,0,0,1,0,35,5,0
