num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
1024,4,100,76800000,1,1,0,0,1,0,48,7,0
1024,5,100,76800000,1,1,0,0,1,0,47,7,0
1024,6,100,76800000,1,1,0,0,1,0,56,7,0
1024,7,100,76800000,1,1,0,0,1,0,57,7,0
1024,8,100,76800000,1,1,0,0,1,0,47,7,0
1024,9,100,76800000,1,1,0,0,1,0,46,7,0
1024,10,100,76800000,1,1,0,0,1,0,56,7,0
1024,11,100,76800000,1,1,0,0,1,0,48,7,0
1024,12,100,76800000,1,1,0,0,1,0,53,7,0
1024,13,100,76800000,1,1,0,0,1,0,47,7,0
1024,14,100,76800000,1,1,0,0,1,0,53,7,0
1024,15,100,76800000,1,1,0,0,1,0,58,7,0
1024,16,100,76800000,1,1,0,0,1,0,47,7,0
1024,17,100,76800000,1,1,0,0,1,0,57,7,0
1024,18,100,76800000,1,1,0,0,1,0,50,7,0
1024,19,100,76800000,1,1,0,0,1,0,52,7,0
