num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
1024,4,100,600000,1,1,0,0,1,0,0,0,0
1024,4,100,1200000,1,1,0,0,1,0,0,0,0
1024,4,100,2400000,1,1,0,0,1,0,0,0,0
1024,4,100,4800000,1,1,0,0,1,0,2,2,0
1024,4,100,9600000,1,1,0,0,1,0,5,1,0
1024,4,100,19200000,1,1,0,0,1,0,11,1,0
1024,4,100,38400000,1,1,0,0,1,0,21,3,0
1024,4,100,76800000,1,1,0,0,1,0,32,5,0
1024,4,100,153600000,1,1,0,0,1,0,65,9,0
1024,4,100,307200000,1,1,0,0,1,0,192,24,0
1024,4,100,614400000,1,1,0,0,1,0,375,24,0
1024,4,100,1228800000,1,1,0,0,1,0,786,24,0
1024,4,100,2457600000,1,1,0,0,1,0,1126,25,0
1024,4,100,4915200000,1,1,0,0,1,0,2358,24,0
1024,4,100,9830400000,1,1,0,0,1,0,4819,24,0
1024,4,100,19660800000,1,1,0,0,1,0,8566,24,0
1024,4,100,39321600000,1,1,0,0,1,0,23420,24,0
1024,4,100,78643200000,1,1,0,0,1,0,38608,24,0
1024,4,100,157286400000,1,1,0,0,1,0,69649,33,0
