num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
1024,4,100,0,10,0,0,0,1,0,113,13,1
1024,4,100,0,10,0,0,0,11,0,107,13,1
1024,4,100,0,10,0,0,0,21,0,140,29,1
1024,4,100,0,10,0,0,0,31,0,110,14,1
1024,4,100,0,10,0,0,0,41,0,228,21,1
1024,4,100,0,10,0,0,0,51,0,137,13,1
1024,4,100,0,10,0,0,0,61,0,140,30,1
1024,4,100,0,10,0,0,0,71,0,176,13,1
1024,4,100,0,10,0,0,0,81,0,205,25,1
1024,4,100,0,10,0,0,0,91,0,138,13,1
1024,4,100,0,10,0,1,0,1,0,129,27,1
1024,4,100,0,10,0,1,0,11,0,1256,72,1
1024,4,100,0,10,0,1,0,21,0,2694,36,1
1024,4,100,0,10,0,1,0,31,0,4416,64,1
1024,4,100,0,10,0,1,0,41,0,6637,36,1
1024,4,100,0,10,0,1,0,51,0,7626,37,1
1024,4,100,0,10,0,1,0,61,0,10830,76,1
1024,4,100,0,10,0,1,0,71,0,9499,40,1
1024,4,100,0,10,0,1,0,81,0,12576,39,1
1024,4,100,0,10,0,1,0,91,0,13272,39,1
