num_bits,private_set_digits,private_set_size,min_expected_cycles,T_exp,T_baseline_comp,T_input_size_comp,T_private_set_comp,RequestSize,RequestTime,SolveTime,SubmitTime,IntersectionSize
1024,4,100,76800000,1,1,0,1,1,0,0,1,0
1024,4,600,76800000,1,1,0,1,1,0,2,1,0
1024,4,1100,76800000,1,1,0,1,1,0,4,1,0
1024,4,1600,76800000,1,1,0,1,1,0,7,2,1
1024,4,2100,76800000,1,1,0,1,1,0,9,2,0
1024,4,2600,76800000,1,1,0,1,1,0,12,2,1
1024,4,3100,76800000,1,1,0,1,1,0,15,2,1
1024,4,3600,76800000,1,1,0,1,1,0,17,3,1
1024,4,4100,76800000,1,1,0,1,1,0,20,3,1
1024,4,4600,76800000,1,1,0,1,1,0,24,3,1
1024,4,5100,76800000,1,1,0,1,1,0,30,4,1
1024,4,5600,76800000,1,1,0,1,1,3,35,7,1
1024,4,6100,76800000,1,1,0,1,1,0,27,4,1
1024,4,6600,76800000,1,1,0,1,1,0,34,5,1
1024,4,7100,76800000,1,1,0,1,1,0,33,5,1
1024,4,7600,76800000,1,1,0,1,1,0,45,5,1
1024,4,8100,76800000,1,1,0,1,1,0,37,6,1
1024,4,8600,76800000,1,1,0,1,1,0,51,6,1
1024,4,9100,76800000,1,1,0,1,1,1,65,6,1
1024,4,9600,76800000,1,1,0,1,1,0,49,7,1
