num_bits, private_set_digits, private_set_size, min_expected_cycles, T_exp, T_baseline_comp, T_input_size_comp, T_private_set_comp, ConfigTime, RequestSize, RequestTime, SolveTime, SubmitTime
1024, 10, 100, 0, 1, 0, 0, 0, 0, 1, 0, 2341, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 11, 0, 2392, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 21, 0, 2347, 25
1024, 10, 100, 0, 1, 0, 0, 0, 0, 31, 0, 2329, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 41, 0, 2343, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 51, 0, 2341, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 61, 0, 2344, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 71, 0, 2339, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 81, 0, 2389, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 91, 0, 2336, 24
1024, 10, 100, 0, 1, 0, 0, 0, 0, 101, 0, 2397, 25
1024, 10, 100, 0, 1, 0, 1, 0, 0, 1, 0, 2338, 24
1024, 10, 100, 0, 1, 0, 1, 0, 0, 11, 0, 25846, 25
1024, 10, 100, 0, 1, 0, 1, 0, 0, 21, 0, 49234, 26
1024, 10, 100, 0, 1, 0, 1, 0, 0, 31, 0, 72729, 27
1024, 10, 100, 0, 1, 0, 1, 0, 0, 41, 0, 96114, 28
